DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station
5,0,5.7,315.0,-22.7,68.8,CP
5,1,4.95,315.0,-22.7,68.8,CP
5,2,4.75,315.0,-22.7,68.8,CP
5,3,4.2,315.0,-22.7,68.8,CP
5,4,3.85,315.0,-22.7,68.8,CP
5,5,4.0,315.0,-22.7,68.8,CP
5,6,3.85,315.0,-22.7,68.8,CP
5,7,3.45,315.0,-22.7,68.8,CP
5,8,3.0,315.0,-22.7,68.8,CP
5,9,5.863,315.0,-22.7,68.8,CP
5,10,4.25,315.0,-22.7,68.8,CP
5,11,3.9,315.0,-22.7,68.8,CP
5,12,4.85,315.0,-22.7,68.8,CP
5,13,5.225,315.0,-22.7,68.8,CP
5,14,3.8,315.0,-22.7,68.8,CP
5,15,7.4,315.0,-22.7,68.8,CP
5,16,8.475,315.0,-22.7,68.8,CP
5,17,8.325,315.0,-22.7,68.8,CP
5,18,8.625,315.0,-22.7,68.8,CP
5,19,9.275,315.0,-22.7,68.8,CP
5,20,8.801,315.0,-22.7,68.8,CP
5,21,6.65,315.0,-22.7,68.8,CP
5,22,5.7,315.0,-22.7,68.8,CP
5,23,5.75,315.0,-22.7,68.8,CP
25,0,7.025,315.0,-22.7,72.7,CP
25,1,7.125,315.0,-22.7,72.7,CP
25,2,5.35,315.0,-22.7,72.7,CP
25,3,3.8,315.0,-22.7,72.7,CP
31,0,6.5,315.0,-22.7,70.0,CP
31,1,7.2,315.0,-22.7,70.0,CP
31,2,6.95,315.0,-22.7,70.0,CP
31,3,5.3,315.0,-22.7,70.0,CP
31,4,5.7,315.0,-22.7,70.0,CP
31,5,4.35,315.0,-22.7,70.0,CP
31,6,2.5,315.0,-22.7,70.0,CP
31,7,2.4,315.0,-22.7,70.0,CP
31,8,2.45,315.0,-22.7,70.0,CP
31,9,3.75,315.0,-22.7,70.0,CP
31,10,4.25,315.0,-22.7,70.0,CP
31,11,4.5,315.0,-22.7,70.0,CP
31,12,4.8,315.0,-22.7,70.0,CP
31,13,4.925,315.0,-22.7,70.0,CP
31,14,5.9,315.0,-22.7,70.0,CP
31,15,6.3,315.0,-22.7,70.0,CP
31,16,7.6,315.0,-22.7,70.0,CP
31,17,8.5,315.0,-22.7,70.0,CP
31,18,9.125,315.0,-22.7,70.0,CP
31,19,10.0,315.0,-22.7,70.0,CP
31,20,9.6,315.0,-22.7,70.0,CP
31,21,9.25,315.0,-22.7,70.0,CP
31,22,6.15,315.0,-22.7,70.0,CP
31,23,5.65,315.0,-22.7,70.0,CP
32,0,4.9,315.0,-22.7,70.0,CP
32,1,4.4,315.0,-22.7,70.0,CP
32,2,4.0,315.0,-22.7,70.0,CP
32,3,4.45,315.0,-22.7,70.0,CP
32,4,4.25,315.0,-22.7,70.0,CP
32,5,2.85,315.0,-22.7,70.0,CP
32,6,2.6,315.0,-22.7,70.0,CP
32,7,2.75,315.0,-22.7,70.0,CP
32,8,2.6,315.0,-22.7,70.0,CP
32,9,4.275,315.0,-22.7,70.0,CP
32,10,4.825,315.0,-22.7,70.0,CP
32,11,5.2,315.0,-22.7,70.0,CP
32,12,4.925,315.0,-22.7,70.0,CP
32,13,4.875,315.0,-22.7,70.0,CP
32,14,5.725,315.0,-22.7,70.0,CP
32,15,7.95,315.0,-22.7,70.0,CP
32,16,8.05,315.0,-22.7,70.0,CP
32,17,6.957,315.0,-22.7,70.0,CP
32,18,7.3,315.0,-22.7,70.0,CP
32,19,7.575,315.0,-22.7,70.0,CP
32,20,8.4,315.0,-22.7,70.0,CP
32,21,7.625,315.0,-22.7,70.0,CP
32,22,6.8,315.0,-22.7,70.0,CP
32,23,6.05,315.0,-22.7,70.0,CP
33,0,5.75,315.0,-22.7,68.8,CP
33,1,5.45,315.0,-22.7,68.8,CP
33,2,5.15,315.0,-22.7,68.8,CP
33,3,5.3,315.0,-22.7,68.8,CP
33,4,4.75,315.0,-22.7,68.8,CP
33,5,3.85,315.0,-22.7,68.8,CP
33,6,3.55,315.0,-22.7,68.8,CP
33,7,3.45,315.0,-22.7,68.8,CP
33,8,3.05,315.0,-22.7,68.8,CP
33,9,5.05,315.0,-22.7,68.8,CP
33,10,4.475,315.0,-22.7,68.8,CP
33,11,4.25,315.0,-22.7,68.8,CP
33,12,4.125,315.0,-22.7,68.8,CP
33,13,5.6,315.0,-22.7,68.8,CP
33,14,6.45,315.0,-22.7,68.8,CP
33,15,6.725,315.0,-22.7,68.8,CP
33,16,7.325,315.0,-22.7,68.8,CP
33,17,8.35,315.0,-22.7,68.8,CP
33,18,9.025,315.0,-22.7,68.8,CP
33,19,9.7,315.0,-22.7,68.8,CP
33,20,9.625,315.0,-22.7,68.8,CP
33,21,8.05,315.0,-22.7,68.8,CP
33,22,6.7,315.0,-22.7,68.8,CP
33,23,5.3,315.0,-22.7,68.8,CP
44,0,5.45,315.0,-22.7,68.6,CP
44,1,4.65,315.0,-22.7,68.6,CP
44,2,4.65,315.0,-22.7,68.6,CP
44,3,4.8,315.0,-22.7,68.6,CP
44,4,5.5,315.0,-22.7,68.6,CP
44,5,5.7,315.0,-22.7,68.6,CP
44,6,5.5,315.0,-22.7,68.6,CP
44,7,4.15,315.0,-22.7,68.6,CP
44,8,3.75,315.0,-22.7,68.6,CP
44,9,4.1,315.0,-22.7,68.6,CP
44,10,4.65,315.0,-22.7,68.6,CP
44,11,4.85,315.0,-22.7,68.6,CP
44,12,5.375,315.0,-22.7,68.6,CP
44,13,4.4,315.0,-22.7,68.6,CP
44,14,4.45,315.0,-22.7,68.6,CP
44,15,6.05,315.0,-22.7,68.6,CP
44,16,7.0,315.0,-22.7,68.6,CP
44,17,8.425,315.0,-22.7,68.6,CP
44,18,10.35,315.0,-22.7,68.6,CP
44,19,8.975,315.0,-22.7,68.6,CP
44,20,8.113,315.0,-22.7,68.6,CP
44,21,8.825,315.0,-22.7,68.6,CP
44,22,9.25,315.0,-22.7,68.6,CP
44,23,7.8,315.0,-22.7,68.6,CP
52,0,3.45,315.0,-22.7,69.2,CP
52,1,3.3,315.0,-22.7,69.2,CP
52,2,3.2,315.0,-22.7,69.2,CP
52,3,3.3,315.0,-22.7,69.2,CP
52,4,3.15,315.0,-22.7,69.2,CP
52,5,2.95,315.0,-22.7,69.2,CP
52,6,3.5,315.0,-22.7,69.2,CP
52,7,1.8,315.0,-22.7,69.2,CP
52,8,1.95,315.0,-22.7,69.2,CP
52,9,3.8,315.0,-22.7,69.2,CP
52,10,5.1,315.0,-22.7,69.2,CP
52,11,5.65,315.0,-22.7,69.2,CP
52,12,5.675,315.0,-22.7,69.2,CP
52,13,5.05,315.0,-22.7,69.2,CP
52,14,5.0,315.0,-22.7,69.2,CP
52,15,6.975,315.0,-22.7,69.2,CP
52,16,8.925,315.0,-22.7,69.2,CP
52,17,9.9,315.0,-22.7,69.2,CP
52,18,9.475,315.0,-22.7,69.2,CP
52,19,7.925,315.0,-22.7,69.2,CP
52,20,7.325,315.0,-22.7,69.2,CP
52,21,7.475,315.0,-22.7,69.2,CP
52,22,7.0,315.0,-22.7,69.2,CP
52,23,6.8,315.0,-22.7,69.2,CP
59,0,4.35,315.0,-22.7,68.8,CP
59,1,3.65,315.0,-22.7,68.8,CP
59,2,3.85,315.0,-22.7,68.8,CP
59,3,4.05,315.0,-22.7,68.8,CP
59,4,4.35,315.0,-22.7,68.8,CP
59,5,3.3,315.0,-22.7,68.8,CP
59,6,3.45,315.0,-22.7,68.8,CP
59,7,3.6,315.0,-22.7,68.8,CP
59,8,2.9,315.0,-22.7,68.8,CP
59,9,3.95,315.0,-22.7,68.8,CP
59,10,4.475,315.0,-22.7,68.8,CP
59,11,5.775,315.0,-22.7,68.8,CP
59,12,7.725,315.0,-22.7,68.8,CP
59,13,7.675,315.0,-22.7,68.8,CP
59,14,7.775,315.0,-22.7,68.8,CP
59,15,8.675,315.0,-22.7,68.8,CP
59,16,9.275,315.0,-22.7,68.8,CP
59,17,9.125,315.0,-22.7,68.8,CP
59,18,10.325,315.0,-22.7,68.8,CP
59,19,10.625,315.0,-22.7,68.8,CP
59,20,8.775,315.0,-22.7,68.8,CP
59,21,6.025,315.0,-22.7,68.8,CP
59,22,5.6,315.0,-22.7,68.8,CP
59,23,6.35,315.0,-22.7,68.8,CP
60,0,4.65,315.0,-22.7,68.7,CP
60,1,3.75,315.0,-22.7,68.7,CP
60,2,3.75,315.0,-22.7,68.7,CP
60,3,3.6,315.0,-22.7,68.7,CP
60,4,3.55,315.0,-22.7,68.7,CP
60,5,3.5,315.0,-22.7,68.7,CP
60,6,3.9,315.0,-22.7,68.7,CP
60,7,3.4,315.0,-22.7,68.7,CP
60,8,2.3,315.0,-22.7,68.7,CP
60,9,3.7,315.0,-22.7,68.7,CP
60,10,5.063,315.0,-22.7,68.7,CP
60,11,5.375,315.0,-22.7,68.7,CP
60,12,6.725,315.0,-22.7,68.7,CP
60,13,6.125,315.0,-22.7,68.7,CP
60,14,6.7,315.0,-22.7,68.7,CP
60,15,7.85,315.0,-22.7,68.7,CP
60,16,8.45,315.0,-22.7,68.7,CP
60,17,9.325,315.0,-22.7,68.7,CP
60,18,10.275,315.0,-22.7,68.7,CP
60,19,10.975,315.0,-22.7,68.7,CP
60,20,10.325,315.0,-22.7,68.7,CP
60,21,8.65,315.0,-22.7,68.7,CP
60,22,7.6,315.0,-22.7,68.7,CP
60,23,5.95,315.0,-22.7,68.7,CP
61,0,4.75,315.0,-22.7,68.2,CP
61,1,4.65,315.0,-22.7,68.2,CP
61,2,4.2,315.0,-22.7,68.2,CP
61,3,3.25,315.0,-22.7,68.2,CP
61,4,3.15,315.0,-22.7,68.2,CP
61,5,3.3,315.0,-22.7,68.2,CP
61,6,3.0,315.0,-22.7,68.2,CP
61,7,2.8,315.0,-22.7,68.2,CP
61,8,2.45,315.0,-22.7,68.2,CP
61,9,4.05,315.0,-22.7,68.2,CP
61,10,4.65,315.0,-22.7,68.2,CP
61,11,5.75,315.0,-22.7,68.2,CP
61,12,6.175,315.0,-22.7,68.2,CP
61,13,6.075,315.0,-22.7,68.2,CP
61,14,7.4,315.0,-22.7,68.2,CP
61,15,9.025,315.0,-22.7,68.2,CP
61,16,10.425,315.0,-22.7,68.2,CP
61,17,10.275,315.0,-22.7,68.2,CP
61,18,10.425,315.0,-22.7,68.2,CP
61,19,9.125,315.0,-22.7,68.2,CP
61,20,8.025,315.0,-22.7,68.2,CP
61,21,7.125,315.0,-22.7,68.2,CP
61,22,5.95,315.0,-22.7,68.2,CP
61,23,5.85,315.0,-22.7,68.2,CP
75,0,3.1,315.0,-22.7,68.8,CP
75,1,2.9,315.0,-22.7,68.8,CP
75,2,2.75,315.0,-22.7,68.8,CP
75,3,2.7,315.0,-22.7,68.8,CP
75,4,2.65,315.0,-22.7,68.8,CP
75,5,3.0,315.0,-22.7,68.8,CP
75,6,2.7,315.0,-22.7,68.8,CP
75,7,2.2,315.0,-22.7,68.8,CP
75,8,2.05,315.0,-22.7,68.8,CP
75,9,3.25,315.0,-22.7,68.8,CP
75,10,4.95,315.0,-22.7,68.8,CP
75,11,5.275,315.0,-22.7,68.8,CP
75,12,5.813,315.0,-22.7,68.8,CP
75,13,6.675,315.0,-22.7,68.8,CP
75,14,6.025,315.0,-22.7,68.8,CP
75,15,7.3,315.0,-22.7,68.8,CP
75,16,8.4,315.0,-22.7,68.8,CP
75,17,9.125,315.0,-22.7,68.8,CP
75,18,8.475,315.0,-22.7,68.8,CP
75,19,8.825,315.0,-22.7,68.8,CP
75,20,10.063,315.0,-22.7,68.8,CP
75,21,9.2,315.0,-22.7,68.8,CP
75,22,5.95,315.0,-22.7,68.8,CP
75,23,4.7,315.0,-22.7,68.8,CP
76,0,3.6,315.0,-22.7,68.6,CP
76,1,3.5,315.0,-22.7,68.6,CP
76,2,3.35,315.0,-22.7,68.6,CP
76,3,3.45,315.0,-22.7,68.6,CP
76,4,3.45,315.0,-22.7,68.6,CP
76,5,3.6,315.0,-22.7,68.6,CP
76,6,3.3,315.0,-22.7,68.6,CP
76,7,3.1,315.0,-22.7,68.6,CP
76,8,2.9,315.0,-22.7,68.6,CP
76,9,4.1,315.0,-22.7,68.6,CP
76,10,5.25,315.0,-22.7,68.6,CP
76,11,6.663,315.0,-22.7,68.6,CP
76,12,6.175,315.0,-22.7,68.6,CP
76,13,7.725,315.0,-22.7,68.6,CP
76,14,6.725,315.0,-22.7,68.6,CP
76,15,7.425,315.0,-22.7,68.6,CP
76,16,8.925,315.0,-22.7,68.6,CP
76,17,9.325,315.0,-22.7,68.6,CP
76,18,10.2,315.0,-22.7,68.6,CP
76,19,11.075,315.0,-22.7,68.6,CP
76,20,11.625,315.0,-22.7,68.6,CP
76,21,10.6,315.0,-22.7,68.6,CP
76,22,7.65,315.0,-22.7,68.6,CP
76,23,5.7,315.0,-22.7,68.6,CP
87,0,3.0,315.0,-22.7,68.1,CP
87,1,2.75,315.0,-22.7,68.1,CP
87,2,2.9,315.0,-22.7,68.1,CP
87,3,2.95,315.0,-22.7,68.1,CP
87,4,2.75,315.0,-22.7,68.1,CP
87,5,2.75,315.0,-22.7,68.1,CP
87,6,3.05,315.0,-22.7,68.1,CP
87,7,2.8,315.0,-22.7,68.1,CP
87,8,2.35,315.0,-22.7,68.1,CP
87,9,3.35,315.0,-22.7,68.1,CP
87,10,4.863,315.0,-22.7,68.1,CP
87,11,4.875,315.0,-22.7,68.1,CP
87,12,5.275,315.0,-22.7,68.1,CP
87,13,5.975,315.0,-22.7,68.1,CP
87,14,6.975,315.0,-22.7,68.1,CP
87,15,7.975,315.0,-22.7,68.1,CP
87,16,8.675,315.0,-22.7,68.1,CP
87,17,9.325,315.0,-22.7,68.1,CP
87,18,10.475,315.0,-22.7,68.1,CP
87,19,10.7,315.0,-22.7,68.1,CP
87,20,9.15,315.0,-22.7,68.1,CP
87,21,7.65,315.0,-22.7,68.1,CP
87,22,4.85,315.0,-22.7,68.1,CP
87,23,4.2,315.0,-22.7,68.1,CP
93,0,2.75,315.0,-22.7,70.6,CP
93,1,3.2,315.0,-22.7,70.6,CP
93,2,2.45,315.0,-22.7,70.6,CP
93,3,2.1,315.0,-22.7,70.6,CP
93,4,2.55,315.0,-22.7,70.6,CP
93,5,2.65,315.0,-22.7,70.6,CP
93,6,3.35,315.0,-22.7,70.6,CP
93,7,2.2,315.0,-22.7,70.6,CP
93,8,2.2,315.0,-22.7,70.6,CP
93,9,2.9,315.0,-22.7,70.6,CP
93,10,4.75,315.0,-22.7,70.6,CP
93,11,5.4,315.0,-22.7,70.6,CP
93,12,5.675,315.0,-22.7,70.6,CP
93,13,6.425,315.0,-22.7,70.6,CP
93,14,7.775,315.0,-22.7,70.6,CP
93,15,8.575,315.0,-22.7,70.6,CP
93,16,9.675,315.0,-22.7,70.6,CP
93,17,9.375,315.0,-22.7,70.6,CP
93,18,9.225,315.0,-22.7,70.6,CP
93,19,7.975,315.0,-22.7,70.6,CP
93,20,6.15,315.0,-22.7,70.6,CP
93,21,4.95,315.0,-22.7,70.6,CP
93,22,3.7,315.0,-22.7,70.6,CP
93,23,2.85,315.0,-22.7,70.6,CP
94,0,2.45,315.0,-22.7,70.3,CP
94,1,2.9,315.0,-22.7,70.3,CP
94,2,2.75,315.0,-22.7,70.3,CP
94,3,2.75,315.0,-22.7,70.3,CP
94,4,2.35,315.0,-22.7,70.3,CP
94,5,2.45,315.0,-22.7,70.3,CP
94,6,2.15,315.0,-22.7,70.3,CP
94,7,1.9,315.0,-22.7,70.3,CP
94,8,3.05,315.0,-22.7,70.3,CP
94,9,5.175,315.0,-22.7,70.3,CP
94,10,5.65,315.0,-22.7,70.3,CP
94,11,6.175,315.0,-22.7,70.3,CP
94,12,7.175,315.0,-22.7,70.3,CP
94,13,8.025,315.0,-22.7,70.3,CP
94,14,9.125,315.0,-22.7,70.3,CP
94,15,10.5,315.0,-22.7,70.3,CP
94,16,11.125,315.0,-22.7,70.3,CP
94,17,11.35,315.0,-22.7,70.3,CP
94,18,10.725,315.0,-22.7,70.3,CP
94,19,9.55,315.0,-22.7,70.3,CP
94,20,5.6,315.0,-22.7,70.3,CP
94,21,4.85,315.0,-22.7,70.3,CP
95,0,2.2,315.0,-22.7,71.8,CP
95,1,2.35,315.0,-22.7,71.8,CP
95,2,2.35,315.0,-22.7,71.8,CP
95,3,2.6,315.0,-22.7,71.8,CP
95,4,2.65,315.0,-22.7,71.8,CP
95,5,3.15,315.0,-22.7,71.8,CP
95,6,2.25,315.0,-22.7,71.8,CP
95,7,1.75,315.0,-22.7,71.8,CP
95,8,1.6,315.0,-22.7,71.8,CP
95,9,2.85,315.0,-22.7,71.8,CP
95,10,4.641,315.0,-22.7,71.8,CP
95,11,5.575,315.0,-22.7,71.8,CP
95,12,6.925,315.0,-22.7,71.8,CP
95,13,8.075,315.0,-22.7,71.8,CP
95,14,9.775,315.0,-22.7,71.8,CP
95,15,10.425,315.0,-22.7,71.8,CP
95,16,11.375,315.0,-22.7,71.8,CP
95,17,11.825,315.0,-22.7,71.8,CP
95,18,12.475,315.0,-22.7,71.8,CP
95,19,10.925,315.0,-22.7,71.8,CP
95,20,7.75,315.0,-22.7,71.8,CP
95,21,5.3,315.0,-22.7,71.8,CP
95,22,3.45,315.0,-22.7,71.8,CP
95,23,2.6,315.0,-22.7,71.8,CP
98,0,2.0,315.0,-22.7,78.8,CP
98,1,2.3,315.0,-22.7,78.8,CP
98,2,2.45,315.0,-22.7,78.8,CP
98,3,2.8,315.0,-22.7,78.8,CP
98,4,2.85,315.0,-22.7,78.8,CP
98,5,2.2,315.0,-22.7,78.8,CP
98,6,2.0,315.0,-22.7,78.8,CP
98,7,2.4,315.0,-22.7,78.8,CP
98,8,2.85,315.0,-22.7,78.8,CP
98,9,4.856,315.0,-22.7,78.8,CP
98,10,5.35,315.0,-22.7,78.8,CP
98,11,6.713,315.0,-22.7,78.8,CP
98,12,8.325,315.0,-22.7,78.8,CP
98,13,8.525,315.0,-22.7,78.8,CP
98,14,7.225,315.0,-22.7,78.8,CP
98,15,6.5,315.0,-22.7,78.8,CP
98,16,7.175,315.0,-22.7,78.8,CP
98,17,8.9,315.0,-22.7,78.8,CP
98,18,9.55,315.0,-22.7,78.8,CP
98,19,7.7,315.0,-22.7,78.8,CP
98,20,5.45,315.0,-22.7,78.8,CP
98,21,3.55,315.0,-22.7,78.8,CP
98,22,2.55,315.0,-22.7,78.8,CP
100,0,2.05,315.0,-22.7,78.4,CP
100,1,2.2,315.0,-22.7,78.4,CP
100,2,2.45,315.0,-22.7,78.4,CP
100,3,2.55,315.0,-22.7,78.4,CP
100,4,1.95,315.0,-22.7,78.4,CP
100,5,2.0,315.0,-22.7,78.4,CP
100,6,1.95,315.0,-22.7,78.4,CP
100,7,1.85,315.0,-22.7,78.4,CP
100,8,1.85,315.0,-22.7,78.4,CP
100,9,2.4,315.0,-22.7,78.4,CP
100,10,5.512,315.0,-22.7,78.4,CP
100,11,6.7,315.0,-22.7,78.4,CP
100,12,8.825,315.0,-22.7,78.4,CP
100,13,9.075,315.0,-22.7,78.4,CP
100,14,10.15,315.0,-22.7,78.4,CP
100,15,9.125,315.0,-22.7,78.4,CP
100,16,8.425,315.0,-22.7,78.4,CP
100,17,9.525,315.0,-22.7,78.4,CP
100,18,9.7,315.0,-22.7,78.4,CP
100,19,8.15,315.0,-22.7,78.4,CP
100,20,7.2,315.0,-22.7,78.4,CP
100,21,5.2,315.0,-22.7,78.4,CP
100,22,3.25,315.0,-22.7,78.4,CP
100,23,2.45,315.0,-22.7,78.4,CP
121,0,2.5,315.0,-22.7,68.7,CP
121,1,2.7,315.0,-22.7,68.7,CP
121,2,1.9,315.0,-22.7,68.7,CP
121,3,2.05,315.0,-22.7,68.7,CP
121,4,2.65,315.0,-22.7,68.7,CP
121,5,1.65,315.0,-22.7,68.7,CP
121,6,1.85,315.0,-22.7,68.7,CP
121,7,1.9,315.0,-22.7,68.7,CP
121,8,1.6,315.0,-22.7,68.7,CP
121,9,2.4,315.0,-22.7,68.7,CP
121,10,4.557,315.0,-22.7,68.7,CP
121,11,5.025,315.0,-22.7,68.7,CP
121,12,5.325,315.0,-22.7,68.7,CP
121,13,5.775,315.0,-22.7,68.7,CP
121,14,7.325,315.0,-22.7,68.7,CP
121,15,6.425,315.0,-22.7,68.7,CP
121,16,6.512,315.0,-22.7,68.7,CP
121,17,4.825,315.0,-22.7,68.7,CP
121,18,4.95,315.0,-22.7,68.7,CP
121,19,5.825,315.0,-22.7,68.7,CP
121,20,5.063,315.0,-22.7,68.7,CP
121,21,4.65,315.0,-22.7,68.7,CP
121,22,4.05,315.0,-22.7,68.7,CP
121,23,2.45,315.0,-22.7,68.7,CP
122,0,2.25,315.0,-22.7,70.3,CP
122,1,2.55,315.0,-22.7,70.3,CP
122,2,1.95,315.0,-22.7,70.3,CP
122,3,2.2,315.0,-22.7,70.3,CP
122,4,2.3,315.0,-22.7,70.3,CP
122,5,2.25,315.0,-22.7,70.3,CP
122,6,2.3,315.0,-22.7,70.3,CP
122,7,2.15,315.0,-22.7,70.3,CP
122,8,2.05,315.0,-22.7,70.3,CP
122,9,2.35,315.0,-22.7,70.3,CP
122,10,4.457,315.0,-22.7,70.3,CP
122,11,5.575,315.0,-22.7,70.3,CP
122,12,6.475,315.0,-22.7,70.3,CP
122,13,8.175,315.0,-22.7,70.3,CP
122,14,9.925,315.0,-22.7,70.3,CP
122,15,9.363,315.0,-22.7,70.3,CP
122,16,7.475,315.0,-22.7,70.3,CP
122,17,7.075,315.0,-22.7,70.3,CP
122,18,6.725,315.0,-22.7,70.3,CP
122,19,6.475,315.0,-22.7,70.3,CP
122,20,4.95,315.0,-22.7,70.3,CP
122,21,3.1,315.0,-22.7,70.3,CP
122,22,2.7,315.0,-22.7,70.3,CP
122,23,2.2,315.0,-22.7,70.3,CP
131,0,2.45,315.0,-22.7,79.5,CP
131,1,1.9,315.0,-22.7,79.5,CP
131,2,1.65,315.0,-22.7,79.5,CP
131,3,1.9,315.0,-22.7,79.5,CP
131,4,2.1,315.0,-22.7,79.5,CP
131,5,2.15,315.0,-22.7,79.5,CP
131,6,2.55,315.0,-22.7,79.5,CP
131,7,2.15,315.0,-22.7,79.5,CP
131,8,2.15,315.0,-22.7,79.5,CP
131,9,2.2,315.0,-22.7,79.5,CP
131,10,4.325,315.0,-22.7,79.5,CP
131,11,4.525,315.0,-22.7,79.5,CP
131,12,5.363,315.0,-22.7,79.5,CP
131,13,6.125,315.0,-22.7,79.5,CP
131,14,6.525,315.0,-22.7,79.5,CP
131,15,5.713,315.0,-22.7,79.5,CP
131,16,5.575,315.0,-22.7,79.5,CP
131,17,8.925,315.0,-22.7,79.5,CP
131,18,8.025,315.0,-22.7,79.5,CP
131,19,5.9,315.0,-22.7,79.5,CP
131,20,5.3,315.0,-22.7,79.5,CP
131,21,4.0,315.0,-22.7,79.5,CP
131,22,2.85,315.0,-22.7,79.5,CP
131,23,3.05,315.0,-22.7,79.5,CP
134,0,2.65,315.0,-22.7,76.0,CP
134,1,2.35,315.0,-22.7,76.0,CP
134,2,2.0,315.0,-22.7,76.0,CP
134,3,2.15,315.0,-22.7,76.0,CP
134,4,2.35,315.0,-22.7,76.0,CP
134,5,1.95,315.0,-22.7,76.0,CP
134,6,1.55,315.0,-22.7,76.0,CP
134,7,2.65,315.0,-22.7,76.0,CP
134,8,4.85,315.0,-22.7,76.0,CP
134,9,4.925,315.0,-22.7,76.0,CP
134,10,4.625,315.0,-22.7,76.0,CP
134,11,5.45,315.0,-22.7,76.0,CP
134,12,7.325,315.0,-22.7,76.0,CP
134,13,8.775,315.0,-22.7,76.0,CP
134,14,10.563,315.0,-22.7,76.0,CP
134,15,9.475,315.0,-22.7,76.0,CP
134,16,8.512,315.0,-22.7,76.0,CP
134,17,6.45,315.0,-22.7,76.0,CP
134,18,5.6,315.0,-22.7,76.0,CP
134,19,3.7,315.0,-22.7,76.0,CP
134,20,1.95,315.0,-22.7,76.0,CP
149,0,2.7,315.0,-22.7,70.1,CP
149,1,2.05,315.0,-22.7,70.1,CP
149,2,1.7,315.0,-22.7,70.1,CP
149,3,1.95,315.0,-22.7,70.1,CP
149,4,2.0,315.0,-22.7,70.1,CP
149,5,1.6,315.0,-22.7,70.1,CP
149,6,1.75,315.0,-22.7,70.1,CP
149,7,1.65,315.0,-22.7,70.1,CP
149,8,3.9,315.0,-22.7,70.1,CP
149,9,4.4,315.0,-22.7,70.1,CP
149,10,4.45,315.0,-22.7,70.1,CP
149,11,5.875,315.0,-22.7,70.1,CP
149,12,5.975,315.0,-22.7,70.1,CP
149,13,7.075,315.0,-22.7,70.1,CP
149,14,5.1,315.0,-22.7,70.1,CP
149,15,4.725,315.0,-22.7,70.1,CP
149,16,6.325,315.0,-22.7,70.1,CP
149,17,6.575,315.0,-22.7,70.1,CP
149,18,5.075,315.0,-22.7,70.1,CP
149,19,3.3,315.0,-22.7,70.1,CP
149,20,2.3,315.0,-22.7,70.1,CP
149,21,2.2,315.0,-22.7,70.1,CP
155,0,2.1,315.0,-22.7,72.1,CP
155,1,2.0,315.0,-22.7,72.1,CP
155,2,2.1,315.0,-22.7,72.1,CP
155,3,1.75,315.0,-22.7,72.1,CP
155,4,1.65,315.0,-22.7,72.1,CP
155,5,1.7,315.0,-22.7,72.1,CP
155,6,1.45,315.0,-22.7,72.1,CP
155,7,1.5,315.0,-22.7,72.1,CP
155,8,3.8,315.0,-22.7,72.1,CP
155,9,4.45,315.0,-22.7,72.1,CP
155,10,4.8,315.0,-22.7,72.1,CP
155,11,4.925,315.0,-22.7,72.1,CP
155,12,5.575,315.0,-22.7,72.1,CP
155,13,5.6,315.0,-22.7,72.1,CP
155,14,6.05,315.0,-22.7,72.1,CP
155,15,7.0,315.0,-22.7,72.1,CP
155,16,6.2,315.0,-22.7,72.1,CP
155,17,4.775,315.0,-22.7,72.1,CP
155,18,4.45,315.0,-22.7,72.1,CP
155,19,4.0,315.0,-22.7,72.1,CP
155,20,2.7,315.0,-22.7,72.1,CP
155,21,1.95,315.0,-22.7,72.1,CP
159,0,2.0,315.0,-22.7,70.5,CP
159,1,2.35,315.0,-22.7,70.5,CP
159,2,2.4,315.0,-22.7,70.5,CP
159,3,2.3,315.0,-22.7,70.5,CP
159,4,2.25,315.0,-22.7,70.5,CP
159,5,2.25,315.0,-22.7,70.5,CP
159,6,2.4,315.0,-22.7,70.5,CP
159,7,1.6,315.0,-22.7,70.5,CP
159,8,1.7,315.0,-22.7,70.5,CP
159,9,1.8,315.0,-22.7,70.5,CP
159,10,4.125,315.0,-22.7,70.5,CP
159,11,4.875,315.0,-22.7,70.5,CP
159,12,4.975,315.0,-22.7,70.5,CP
159,13,4.551,315.0,-22.7,70.5,CP
159,14,4.5,315.0,-22.7,70.5,CP
159,15,5.05,315.0,-22.7,70.5,CP
159,16,4.663,315.0,-22.7,70.5,CP
159,17,4.725,315.0,-22.7,70.5,CP
159,18,5.65,315.0,-22.7,70.5,CP
159,19,5.65,315.0,-22.7,70.5,CP
159,20,4.25,315.0,-22.7,70.5,CP
159,21,3.75,315.0,-22.7,70.5,CP
159,22,3.3,315.0,-22.7,70.5,CP
159,23,3.0,315.0,-22.7,70.5,CP
164,0,2.3,315.0,-22.7,69.6,CP
164,1,2.0,315.0,-22.7,69.6,CP
164,2,1.9,315.0,-22.7,69.6,CP
164,3,1.65,315.0,-22.7,69.6,CP
164,4,1.9,315.0,-22.7,69.6,CP
164,5,3.9,315.0,-22.7,69.6,CP
164,6,4.975,315.0,-22.7,69.6,CP
164,7,4.55,315.0,-22.7,69.6,CP
164,8,4.063,315.0,-22.7,69.6,CP
164,9,2.8,315.0,-22.7,69.6,CP
164,10,3.6,315.0,-22.7,69.6,CP
